기준년도,사고시간대,사고건,사망,부상,시간대그룹,치사율(%)
2015,0시~2시,4014,80,6918,심야(0~6시),1.9930244145490783
2015,2시~4시,2531,87,4202,심야(0~6시),3.437376531015409
2015,4시~6시,1786,68,2901,심야(0~6시),3.807390817469205
2015,6시~8시,1422,39,2364,아침(6~10시),2.7426160337552745
2015,8시~10시,771,15,1363,아침(6~10시),1.9455252918287937
2015,10시~12시,498,17,906,오전~점심(10~14시),3.413654618473896
2015,12시~14시,589,13,1044,오전~점심(10~14시),2.2071307300509337
2015,14시~16시,905,31,1709,오후(14~18시),3.4254143646408837
2015,16시~18시,1503,50,2813,오후(14~18시),3.32667997338656
2015,18시~20시,2272,61,4030,저녁(18~20시),2.6848591549295775
2015,20시~22시,3352,51,6109,야간(20~24시),1.5214797136038187
2015,22시~24시,4756,71,8521,야간(20~24시),1.4928511354079057
2016,0시~2시,3212,68,5497,심야(0~6시),2.1170610211706102
2016,2시~4시,2110,88,3375,심야(0~6시),4.170616113744076
2016,4시~6시,1537,62,2409,심야(0~6시),4.033832140533507
2016,6시~8시,1221,32,2099,아침(6~10시),2.620802620802621
2016,8시~10시,706,18,1273,아침(6~10시),2.5495750708215295
2016,10시~12시,479,7,876,오전~점심(10~14시),1.4613778705636742
2016,12시~14시,480,15,866,오전~점심(10~14시),3.125
2016,14시~16시,788,22,1401,오후(14~18시),2.7918781725888326
2016,16시~18시,1106,21,2008,오후(14~18시),1.89873417721519
2016,18시~20시,1842,48,3351,저녁(18~20시),2.6058631921824107
2016,20시~22시,2637,40,4801,야간(20~24시),1.5168752370117558
2016,22시~24시,3651,60,6467,야간(20~24시),1.6433853738701727
2017,0시~2시,3124,66,5348,심야(0~6시),2.112676056338028
2017,2시~4시,1983,71,3231,심야(0~6시),3.580433686333838
2017,4시~6시,1425,66,2276,심야(0~6시),4.631578947368421
2017,6시~8시,1161,24,1876,아침(6~10시),2.0671834625323
2017,8시~10시,750,10,1297,아침(6~10시),1.3333333333333335
2017,10시~12시,526,16,932,오전~점심(10~14시),3.041825095057034
2017,12시~14시,533,11,938,오전~점심(10~14시),2.0637898686679175
2017,14시~16시,764,13,1302,오후(14~18시),1.7015706806282722
2017,16시~18시,1205,24,2100,오후(14~18시),1.9917012448132778
2017,18시~20시,1828,37,3165,저녁(18~20시),2.024070021881838
2017,20시~22시,2586,38,4608,야간(20~24시),1.4694508894044858
2017,22시~24시,3632,63,6291,야간(20~24시),1.7345814977973568
2018,0시~2시,3034,47,5162,심야(0~6시),1.5491100856954514
2018,2시~4시,1928,41,3095,심야(0~6시),2.1265560165975104
2018,4시~6시,1463,42,2245,심야(0~6시),2.8708133971291865
2018,6시~8시,1146,26,1824,아침(6~10시),2.2687609075043627
2018,8시~10시,728,11,1220,아침(6~10시),1.510989010989011
2018,10시~12시,494,14,836,오전~점심(10~14시),2.834008097165992
2018,12시~14시,504,11,929,오전~점심(10~14시),2.1825396825396823
2018,14시~16시,761,17,1342,오후(14~18시),2.2339027595269383
2018,16시~18시,1184,23,2118,오후(14~18시),1.9425675675675675
2018,18시~20시,1831,28,3262,저녁(18~20시),1.5292190060076463
2018,20시~22시,2539,29,4482,야간(20~24시),1.1421819614021267
2018,22시~24시,3769,57,6437,야간(20~24시),1.5123374900504112
2019,0시~2시,2508,53,4054,심야(0~6시),2.113237639553429
2019,2시~4시,1556,38,2453,심야(0~6시),2.442159383033419
2019,4시~6시,1171,37,1747,심야(0~6시),3.159692570452605
2019,6시~8시,1031,16,1651,아침(6~10시),1.5518913676042678
2019,8시~10시,631,7,1028,아침(6~10시),1.109350237717908
2019,10시~12시,406,13,638,오전~점심(10~14시),3.201970443349754
2019,12시~14시,452,7,803,오전~점심(10~14시),1.5486725663716814
2019,14시~16시,647,10,1108,오후(14~18시),1.545595054095827
2019,16시~18시,918,28,1564,오후(14~18시),3.0501089324618738
2019,18시~20시,1512,22,2479,저녁(18~20시),1.455026455026455
2019,20시~22시,1978,27,3505,야간(20~24시),1.365015166835187
2019,22시~24시,2898,37,4931,야간(20~24시),1.2767425810904072
2020,0시~2시,2653,37,4320,심야(0~6시),1.394647568790049
2020,2시~4시,1549,49,2471,심야(0~6시),3.1633311814073597
2020,4시~6시,1139,33,1641,심야(0~6시),2.8972783143107987
2020,6시~8시,905,16,1379,아침(6~10시),1.7679558011049725
2020,8시~10시,655,9,1039,아침(6~10시),1.3740458015267176
2020,10시~12시,412,5,672,오전~점심(10~14시),1.2135922330097086
2020,12시~14시,508,6,861,오전~점심(10~14시),1.1811023622047243
2020,14시~16시,670,11,1127,오후(14~18시),1.6417910447761193
2020,16시~18시,1066,17,1750,오후(14~18시),1.594746716697936
2020,18시~20시,1634,26,2716,저녁(18~20시),1.591187270501836
2020,20시~22시,2675,32,4582,야간(20~24시),1.1962616822429906
2020,22시~24시,3381,46,5505,야간(20~24시),1.3605442176870748
2021,0시~2시,1728,33,2656,심야(0~6시),1.9097222222222223
2021,2시~4시,831,32,1192,심야(0~6시),3.850782190132371
2021,4시~6시,564,9,808,심야(0~6시),1.5957446808510638
2021,6시~8시,482,9,669,아침(6~10시),1.8672199170124482
2021,8시~10시,411,3,594,아침(6~10시),0.7299270072992701
2021,10시~12시,392,5,604,오전~점심(10~14시),1.2755102040816326
2021,12시~14시,439,5,705,오전~점심(10~14시),1.1389521640091116
2021,14시~16시,689,11,1194,오후(14~18시),1.5965166908563133
2021,16시~18시,1034,7,1722,오후(14~18시),0.6769825918762089
2021,18시~20시,1674,18,2724,저녁(18~20시),1.0752688172043012
2021,20시~22시,2891,31,4766,야간(20~24시),1.0722933241093047
2021,22시~24시,3759,43,6019,야간(20~24시),1.1439212556530993
2022,0시~2시,2153,30,3388,심야(0~6시),1.3934045517882026
2022,2시~4시,1154,33,1672,심야(0~6시),2.859618717504333
2022,4시~6시,801,26,1211,심야(0~6시),3.245942571785269
2022,6시~8시,692,11,965,아침(6~10시),1.5895953757225432
2022,8시~10시,575,6,940,아침(6~10시),1.0434782608695654
2022,10시~12시,396,5,689,오전~점심(10~14시),1.2626262626262625
2022,12시~14시,440,4,718,오전~점심(10~14시),0.9090909090909091
2022,14시~16시,661,8,1145,오후(14~18시),1.2102874432677762
2022,16시~18시,937,12,1620,오후(14~18시),1.2806830309498398
2022,18시~20시,1537,18,2545,저녁(18~20시),1.1711125569290826
2022,20시~22시,2526,28,4322,야간(20~24시),1.1084718923198733
2022,22시~24시,3187,33,5046,야간(20~24시),1.0354565422026984
2023,0시~2시,1871,26,2973,심야(0~6시),1.389631213254944
2023,2시~4시,1124,21,1674,심야(0~6시),1.8683274021352312
2023,4시~6시,831,16,1207,심야(0~6시),1.9253910950661854
2023,6시~8시,763,8,1089,아침(6~10시),1.0484927916120577
2023,8시~10시,622,5,1054,아침(6~10시),0.8038585209003215
2023,10시~12시,399,3,673,오전~점심(10~14시),0.7518796992481203
2023,12시~14시,403,3,674,오전~점심(10~14시),0.7444168734491315
2023,14시~16시,594,11,973,오후(14~18시),1.8518518518518516
2023,16시~18시,836,7,1412,오후(14~18시),0.8373205741626795
2023,18시~20시,1288,17,2113,저녁(18~20시),1.3198757763975155
2023,20시~22시,1983,20,3121,야간(20~24시),1.0085728693898133
2023,22시~24시,2328,22,3665,야간(20~24시),0.9450171821305842
2024,0시~2시,1603,21,2405,심야(0~6시),1.3100436681222707
2024,2시~4시,965,20,1419,심야(0~6시),2.072538860103627
2024,4시~6시,734,13,1052,심야(0~6시),1.7711171662125342
2024,6시~8시,659,9,969,아침(6~10시),1.3657056145675266
2024,8시~10시,578,6,944,아침(6~10시),1.0380622837370241
2024,10시~12시,353,2,569,오전~점심(10~14시),0.56657223796034
2024,12시~14시,341,7,566,오전~점심(10~14시),2.0527859237536656
2024,14시~16시,520,3,883,오후(14~18시),0.576923076923077
2024,16시~18시,697,5,1072,오후(14~18시),0.7173601147776184
2024,18시~20시,1007,7,1563,저녁(18~20시),0.6951340615690168
2024,20시~22시,1571,19,2511,야간(20~24시),1.20942075111394
2024,22시~24시,2009,26,3157,야간(20~24시),1.2941762070681933
